word,pos
gallows_tree,nouns
governor's_race,nouns
kaftan,nouns
postmature_infant,nouns
growth-onset_diabetes,nouns
Caranx_hippos,nouns
Sarafem,nouns
lumberyard,nouns
excitability,nouns
cubitus,nouns
Phalaenopsis,nouns
philosophiser,nouns
derived_function,nouns
magic_trick,nouns
alveolar_point,nouns
Pacific_bonito,nouns
bread-and-butter_issue,nouns
thymine,nouns
ostensorium,nouns
solar_magnetic_field,nouns
tiger_lily,nouns
waiting_area,nouns
nonreligious_person,nouns
spark_arrester,nouns
Thuja,nouns
centilitre,nouns
umbra,nouns
manual_of_arms,nouns
silverfish,nouns
Chelifer_cancroides,nouns
Theraphosidae,nouns
shawm,nouns
clamoring,nouns
mamey,nouns
spurred_gentian,nouns
apricot_tree,nouns
tansy_leaf_aster,nouns
Cercopithecus_talapoin,nouns
rational_number,nouns
irritable_bowel_syndrome,nouns
en,nouns
sound_reflection,nouns
plectranthus,nouns
egression,nouns
sonogram,nouns
kudzu_vine,nouns
contributory_negligence,nouns
Kursk,nouns
reserves,nouns
Sophist,nouns
Thomas_Lanier_Williams,nouns
Pitt_the_Elder,nouns
ancients,nouns
W._C._Fields,nouns
olive_drab,nouns
Topeka,nouns
genus_Antidorcas,nouns
genus_Chronoperates,nouns
air_hostess,nouns
Hordeum_pusillum,nouns
relegation,nouns
brolly,nouns
Cantharellus_clavatus,nouns
family_Azollaceae,nouns
greaseproof_paper,nouns
framing,nouns
cow_parsnip,nouns
street_credibility,nouns
horseshoe,nouns
aeciospore,nouns
Calochortus_kennedyi,nouns
unrest,nouns
verbal_creation,nouns
Fungia,nouns
mutt,nouns
diaglyph,nouns
chunnel,nouns
May_queen,nouns
cup_tie,nouns
genus_Pyracantha,nouns
Seneca_snakeroot,nouns
kinetics,nouns
Hamilton,nouns
Easter_bunny,nouns
null_space,nouns
fair_use,nouns
golden_willow,nouns
seignior,nouns
Tidewater,nouns
retrorocket,nouns
exophthalmos,nouns
Thomomys_talpoides,nouns
genus_Gymnogyps,nouns
crossing_over,nouns
catholicon,nouns
miotic_drug,nouns
shrewishness,nouns
bitter,nouns
uniting,nouns
genus_Dumetella,nouns
face_cloth,nouns
Ecuadoran,nouns
blight,nouns
pig,nouns
Allium_ursinum,nouns
family_Euglenaceae,nouns
genus_Diodon,nouns
